,sample_name,smartseq_cluster_id,smartseq_cluster,sex_label,smartseq_cluster_color,medical_cond_label,cell_counts,n_genes,percent_mito,pass_count_filter,pass_mito_filter
LS-15922_S07_E1-50,LS-15922_S07_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - none,952477.5,10420,0.0,True,True
LS-15922_S16_E1-50,LS-15922_S16_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - none,946772.75,9530,0.0,True,True
LS-15922_S23_E1-50,LS-15922_S23_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,960815.2,9348,0.0,True,True
LS-15922_S81_E1-50,LS-15922_S81_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,969398.44,9016,0.0,True,True
LS-15922_S93_E1-50,LS-15922_S93_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,958902.56,9497,0.0,True,True
SM-D9D7M_S60_E1-50,SM-D9D7M_S60_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,956934.06,8012,0.0,True,True
SM-D9D7M_S61_E1-50,SM-D9D7M_S61_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,969276.25,9690,0.0,True,True
SM-D9D7M_S78_E1-50,SM-D9D7M_S78_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,940220.7,9400,0.0,True,True
SM-D9E6R_S61_E1-50,SM-D9E6R_S61_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,959290.75,9716,0.0,True,True
SM-D9E6R_S65_E1-50,SM-D9E6R_S65_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,941574.44,8794,0.0,True,True
SM-D9E6R_S70_E1-50,SM-D9E6R_S70_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,946045.3,9327,0.0,True,True
SM-DD45D_S090_E1-50,SM-DD45D_S090_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - aggression,951359.8,7197,0.0,True,True
SM-DD45I_S096_E1-50,SM-DD45I_S096_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,937346.56,7658,0.0,True,True
SM-DD45I_S170_E1-50,SM-DD45I_S170_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - aggression,952411.4,7957,0.0,True,True
SM-DD45J_S013_E1-50,SM-DD45J_S013_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - no intruder,960459.6,7782,0.0,True,True
SM-DD45J_S079_E1-50,SM-DD45J_S079_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,952081.3,7471,0.0,True,True
SM-DD45J_S125_E1-50,SM-DD45J_S125_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - no intruder,947016.4,7397,0.0,True,True
SM-DD45J_S178_E1-50,SM-DD45J_S178_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,949372.25,7978,0.0,True,True
SM-DD45Z_S180_E1-50,SM-DD45Z_S180_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,952500.75,8436,0.0,True,True
SM-DD45Z_S182_E1-50,SM-DD45Z_S182_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - none,947559.75,8476,0.0,True,True
SM-DD45Z_S187_E1-50,SM-DD45Z_S187_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,949347.3,8016,0.0,True,True
SM-DD461_S009_E1-50,SM-DD461_S009_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - mating,964039.56,8449,0.0,True,True
SM-DD461_S062_E1-50,SM-DD461_S062_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,956935.75,8677,0.0,True,True
SM-DD461_S066_E1-50,SM-DD461_S066_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,961449.9,8726,0.0,True,True
SM-DD461_S079_E1-50,SM-DD461_S079_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,954185.2,7310,0.0,True,True
SM-GE65U_S79_E1-50,SM-GE65U_S79_E1-50,32,Satb2 Calcrl,F,#5472EB,behavior - none,957454.9,8271,0.0,True,True
SM-GE65W_S32_E1-50,SM-GE65W_S32_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,956935.75,8145,0.0,True,True
